class,Lichen location 1,Lichen location 2,Lichen location 3,Lichen location 4,Lichen location 5,Lichen location 6,Lichen location 7,Lichen location 8,Root location 1,Root location 2,Root location 3,Root location 4,Root location 5,Root location 6,Root location 7,Root location 8,Root location 9,Root location 90,Soil location 1,Soil location 2,Soil location 3,Soil location 4,Soil location 5,Soil location 6,Soil location 7,Soil location 8,Soil location 9,Soil location 90
Lecanoromycetes,0,0,0,0,0,0.00033448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34E-05,0,0,0
Lecanoromycetes,0,0,0,4.06E-05,0.000843774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000472938,3.57E-05,0.001021343,0.001251157,0,0.0004843,0,0,0
Lecanoromycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13E-05,0,0,0,0,0
Lecanoromycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13E-05,0,0,0,0,0
Dothideomycetes,0,0.000147336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dothideomycetes,0,0.000867643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91E-05,0,0,0,0,0,0,0,0
Candelariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67E-05,0,0.000101314,0,0,6.78E-05,0.000154822
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147383,0,0,0.00034424,4.30E-05,0.000135653,5.84E-05,4.38E-05,2.89E-05,2.89E-05,0,0.000372698,2.48E-05
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,1.78E-05,0,0,0,0,0,0,0,0.000122943,3.69E-05,0.00019991,0.000379356,0.000200185,0.000347361,8.67E-05,0.000101392,0,1.86E-05
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69E-05,0.000257966,0.000385541,0.000221777,8.13E-05,0.000164032,2.89E-05,0.000717545,1.69E-05,0
Dothideomycetes,0,0,0,0,0,0,0,0,0,0.000444771,0,0,0,0,0,0,0,0,0,0,0,0,0.000100093,0,0,0,0,0
Dothideomycetes,0,0.000753049,0.000214819,0.000176011,0.000255689,0,0.000245487,0,2.76E-05,0,0,0,0,1.95E-05,0,0,0,0,0.000313505,0.000325529,0.000428379,0.000957144,0.001370017,0.000757441,0.000679466,0.00051476,0.000338817,0.000879388
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.52E-05,0
Dothideomycetes,0,0,0,0,0,0,0,0,9.21E-05,0.000328018,0,0.000288723,0.000107514,0,0,0,0,0,3.69E-05,6.14E-05,7.14E-05,0.000134234,5.00E-05,0.000289468,0.000773434,0.000241781,5.08E-05,0.000241522
Dothideomycetes,0,0.001195056,4.60E-05,0,0,0,0,0,2.76E-05,4.45E-05,0,0,0,0,0,0,0,0,8.61E-05,0.000915166,0.000442658,2.33E-05,0.000306534,0.000159207,0,0,3.95E-05,0.000117665
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84E-05,0,0,0.000163415,4.38E-05,0,0,0,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,0,1.67E-05,0,2.72E-05,0,0,0,0,0,0,0,0,0,2.33E-05,4.38E-05,1.93E-05,0,0,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000190562,0.000122841,0.000149933,0.000396865,0.000631834,0.000217101,3.61E-05,2.34E-05,7.91E-05,0.000136243
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,4.30E-05,6.43E-05,2.33E-05,4.38E-05,0,0,0,0,0
Dothideomycetes,0,0.000327413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000504066,0.000337813,0.00019277,0.001879271,0.000500463,0.000207452,0.001004742,0.00090473,3.39E-05,6.19E-05
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88E-05,0,0,0,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,0.000810179,0.00272422,0.008646336,0.001127654,0.000580573,0.001128844,0,0.000194925,0.002493974,0.005592454,0.000104502,0,0.000114234,7.59E-05,0.00011886,7.24E-05,0.000318048,0.000319775,0.000101645,0.000105279
Dothideomycetes,0,0.000556601,0.000337573,0,0,0,0,0.000330571,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,2.14E-05,0,0,0,0,7.80E-05,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91E-05,2.86E-05,3.50E-05,0,0,0,3.12E-05,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142628,0,0,0,0,0,0,0,0,0,0,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100093,0,0,0,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51E-05,0,0,0,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01E-05,0,0,0,0,0,0,0,0,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,0,1.75E-05,5.00E-05,0,0,0,0,0
Dothideomycetes,0,4.91E-05,0,0,0,0,0,0,0,0.00090066,2.96E-05,0.000201561,0.000225779,0,0,0,3.42E-05,0,4.30E-05,0.00047908,0.000499775,0.000525262,0.000857043,0.000410079,7.23E-05,3.90E-05,0,4.34E-05
Dothideomycetes,0,0,0,0,0,0,0,0,0.000138099,0.001117486,0.000195565,1.63E-05,7.53E-05,0,0,0,0.000204984,0,0,0.000110557,9.28E-05,2.33E-05,2.50E-05,0,0,0,0,0
Dothideomycetes,0,0,0,0,0,0,0,0,8.29E-05,0.000628238,0,0,2.15E-05,0,0,0,0,0,0,1.84E-05,0,0,0,0,0,0,0,0
Dothideomycetes,0,4.91E-05,0,0,0.000102276,0,6.55E-05,0,0,0,0,0,0,0,0,0,0,0,3.69E-05,0.000147409,7.14E-05,3.50E-05,0.000268999,1.45E-05,0,0,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,2.96E-05,0,0,2.92E-05,2.73E-05,7.13E-05,0,0,0,0,0,0,0,0,0,0,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46E-05,5.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,2.22E-05,0,0,0,8.27E-05,5.01E-05,7.61E-05,0,0.000115464,0,0,0,0,0,1.45E-05,0,0,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92E-05,0.000113955,0,0,0,0,0,0,0,0,0,0,0,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84E-05,2.73E-05,2.38E-05,4.18E-05,1.51E-05,0,0,0,0,0,0,0,0,2.26E-05,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000288578,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159207,0,0,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104502,2.46E-05,0.000149933,0.000408537,0.000112604,0.000207452,0,0,6.78E-05,0.000241522
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14E-05,0,0,0,0,0,0,0,0,0,0.0005534,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45E-05,0,6.24E-05,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000456834,0,0,0,0,0,0,2.17E-05,0,0,0
Sordariomycetes,0,0,0,0,0,0,0,0,0,0,0,0.000332304,0,0,0,0,1.14E-05,0,6.76E-05,3.69E-05,4.28E-05,5.25E-05,3.13E-05,9.17E-05,2.89E-05,2.34E-05,5.08E-05,0.00013005
Sordariomycetes,0,0,0,0,0,0,0,0,0.000395883,0,0,0,0,0,0,0,0.001172965,4.02E-05,0,0,0,0,0,0.000110963,0,0,3.95E-05,6.19E-05
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93E-05,0,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0.000114594,0,0,7.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
